alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Fibres (g/100 g)
Sandwich pain de mie complet, jambon crudités, préemballé;197;8.51;22.4;7.58;2.66
Sandwich pain viennois, jambon oeuf crudités, préemballé;236;9.16;26.6;9.77;2.2
Sandwich pain viennois, thon oeuf crudités, préemballé;229;9.74;26.6;8.73;2.5
Sandwich pain viennois, poulet oeuf crudités, préemballé;218;9.94;27;7.32;2.33
Sandwich pain viennois, poulet crudités, préemballé;234;10.1;26.4;9.28;2.2
Sandwich pain polaire, poulet crudités, préemballé;218;9.81;28.1;7.01;1.9
Sandwich pain polaire, saumon, préemballé;238;10.7;27.2;9.05;2.25
Sandwich pain polaire, jambon fromage, préemballé;266;10.5;27.2;12.3;2.27
Sandwich pain de mie complet, poulet, préemballé;229;11.2;25.3;8.5;3.43
Sandwich baguette, poulet crudités, préemballé;216;9;28.2;7;2.17
Salade de pomme de terre au thon, préemballée;124;5.57;8.13;7.7;0
Salade de pomme de terre à la saucisse, préemballée;156;3.08;8.75;11.6;2.1
Salade composée à base de crudités, charcuterie et fromage, avec sauce, préemballée;153;7.45;4.96;10.9;2.43
Salade composée à base de crudités et produits de la mer, avec sauce, préemballée;120;4.78;7.58;7.5;1.6
Salade composée à base de crudités, oeuf et produits de la mer, avec sauce, préemballée;108;4.76;3.77;7.57;2.8
Salade composée à base de crudités, poulet et fromage, avec sauce, préemballée;150;7.13;5.28;10.8;1.57
Salade composée à base de crudités et poulet, avec sauce, préemballée;88;4.13;4.28;5.35;3.1
Pizza au chèvre, préemballée;241;9.95;27.1;9.86;2.2
Nem ou pâté impérial, préemballé, cuit (aliment moyen);216;7.45;22.4;10;2.8
Soupe aux lentilles, préemballée à réchauffer;63.3;3.19;7.64;1.87;1.59
Soupe à la volaille et aux légumes, préemballée à réchauffer;30.8;3.09;2.6;0.8;0.4
Soupe aux légumes variés, préemballée à réchauffer;36.8;0.84;4.5;1.45;1.23
Soupe de poissons et/ou crustacés, préemballée à réchauffer;50;4.11;2.71;2.35;0.8
Soupe aux légumes variés, déshydratée reconstituée;35.5;0.76;5.7;0.91;0.74
Soupe aux poireaux et pommes de terre, préemballée à réchauffer;37.1;0.91;5.12;1.25;0.88
Soupe à la volaille et aux vermicelles, préemballée à réchauffer;23.2;1.24;3.28;0.56;0.25
Bouillon de viande et légumes type pot-au-feu, prêt à consommer;5.76;0.53;0.24;0.3;0
Soupe à l'oignon, préemballée à réchauffer;60.8;1.64;4.26;3.83;1.38
Soupe aux champignons, préemballée à réchauffer;40.3;0.94;4.1;2.12;0.61
Soupe à la carotte, préemballée à réchauffer;35.8;0.68;4.03;1.61;1.26
Soupe à la tomate, préemballée à réchauffer;36.2;0.76;5.88;0.88;0.95
Soupe chorba frik, à base de viande et de frik;62.9;3.75;5.4;2.5;1.9
Soupe minestrone, préemballée à réchauffer;46.5;1.51;4.97;1.93;1.65
Soupe au pistou, déshydratée reconstituée;27;1.01;4.77;0.28;0.69
Soupe de poissons et/ou crustacés, déshydratée reconstituée;40.9;0.91;5.66;1.54;0.39
Soupe asiatique, avec pâtes, déshydratée reconstituée;38.4;1.12;5.69;1.14;0.47
Soupe marocaine, déshydratée reconstituée;39.9;2.07;6.43;0.46;1.03
Soupe aux poireaux et pommes de terre, déshydratée reconstituée;36.2;0.76;4.93;1.4;0.45
Soupe à la volaille et aux légumes, déshydratée reconstituée;27.3;0.99;4.58;0.44;0.51
Bouillon de boeuf, déshydraté reconstitué;6.14;0.85;0.36;0.15;0
Soupe aux asperges, déshydratée reconstituée;37.4;0.79;5.38;1.34;0.36
Soupe à la tomate et aux vermicelles, préemballée à réchauffer;38;1.2;6.09;0.77;1.01
Soupe aux céréales et aux légumes, déshydratée reconstituée;47.8;1.4;6.8;1.4;1.2
Soupe à la tomate, déshydratée reconstituée;39.6;0.98;6.45;0.98;0.72
Soupe aux champignons, déshydratée reconstituée;37.7;0.66;4.86;1.67;0.33
Soupe à l'oignon, déshydratée reconstituée;19.4;0.5;3.36;0.38;0.34
Soupe au potiron, préemballée à réchauffer;36.2;0.66;4.48;1.51;0.99
Bouillon de volaille, déshydraté reconstitué;7.19;1.23;0.28;0.13;0
Bouillon de légumes, déshydraté reconstitué;4.78;0.34;0.51;0.16;0
Soupe à la tomate et aux vermicelles, déshydratée reconstituée;27.7;0.8;5.36;0.29;0.33
Soupe à la volaille et aux vermicelles, déshydratée reconstituée;21.2;0.78;3.85;0.24;0.32
Soupe au pistou, préemballée à réchauffer;52.6;1.88;3.94;2.8;2.06
Soupe au potiron, déshydratée reconstituée;36.1;0.72;4.95;1.32;0.81
Soupe asiatique, avec pâtes, préemballée à réchauffer;33.5;1.3;4.06;1.23;0.52
Soupe minestrone, déshydratée reconstituée;32.4;1.11;5.56;0.44;1.01
Soupe au cresson, déshydratée reconstituée;25.1;0.42;3.95;0.8;0.19
Soupe au cresson, préemballée à réchauffer;34;1;5.4;0.8;0.6
Soupe aux légumes avec fromage, préemballée à réchauffer;46.3;1.26;4.77;2.26;0.92
Soupe aux légumes verts, préemballée à réchauffer;35;1.13;3.96;1.38;1.16
Soupe aux légumes verts, déshydratée reconstituée;32;0.63;4.84;1.05;0.48
Soupe aux pois cassés, préemballée à réchauffer;48.8;2.47;5.69;1.47;1.47
Soupe froide type gaspacho ou gazpacho, préemballée;40.2;0.81;3.21;2.33;1.07
Soupe aux asperges, préemballée à réchauffer;57.6;1.54;3.8;3.8;1.05
Soupe (aliment moyen);39.5;1.42;4.81;1.42;0.94
Bouillon de viande et légumes type pot-au-feu, non dégraissé, déshydraté;212;11.6;28.9;5.4;0
Bouillon de viande et légumes type pot-au-feu, dégraissé, déshydraté;197;10.8;30.9;3.1;0
Soupe miso, déshydratée reconstituée;16.5;1.24;2.37;0.34;0.1
Soupe aux légumes et aux vermicelles, déshydratée reconstituée;35.6;0.8;6.19;0.77;0.33
Soupe aux légumes et aux vermicelles, préemballée à réchauffer;37;1.07;5.4;1.01;1.01
Soupe au boeuf et aux vermicelles, déshydratée reconstituée;22.6;0.87;4.29;0.15;0.28
Soupe asiatique, avec poulet et pâtes, préemballée à réchauffer;67.6;3.96;6.3;2.75;0.94
Mahi-mahi, chair, cuit;109;23.7;1.47;0.9;0
Mahi-mahi, chair, cru;84.9;18.5;1.15;0.7;0
Saumon fumé, aux cinq baies;199;22.6;1.44;11.4;0
Saumon fumé, à l'aneth et au citron;201;21.2;0.37;12.8;0
Maquereau, filet grillé, appertisé, en sauce, égoutté;259;18.8;0.96;19.7;0.6
Saumon, cuit, sans précision (aliment moyen);205;23.2;0.61;12.2;0
Cabillaud, cuit, sans précision (aliment moyen);100;23.3;0;0.76;0
Hareng fumé, doux;163;18.1;0.44;9.9;0
Anchois, filets, roulés aux câpres, salés, à l'huile, semi-conserve, égouttés;195;22.9;1.56;10.6;0.98
Anchois, filets, marinés à l'huile, semi-conserve, égouttés;167;20.6;0.47;9.08;0
Bar rayé ou bar d'Amérique, cru;113;20.3;0;3.58;0
Carrelet ou plie ou plie commune, pané, frit;271;14.3;15.2;16.8;1
Carrelet ou plie ou plie commune, cuit à la vapeur;93;19;0;1.89;0
Oeufs de lompe ou oeufs de lump, semi-conserve;77.8;10.4;1.01;3.48;0.4
Caviar, semi-conserve;254;25;0;17.1;0
Lieu ou colin d'Alaska, cru;72.6;16.3;0.51;0.61;0
Églefin, cuit à la vapeur;89;20.9;0;0.6;0
Flétan de l'Atlantique ou flétan, cru;96.5;21.2;0;1.31;0
Hareng mariné ou rollmops, préemballé;189;13.7;1.95;13.8;0
Hareng, cru;176;17.7;0;11.7;0
Hareng, frit;201;23;0;12.1;0
Hareng fumé, au naturel;167;16.5;0.5;11;0
Hareng, grillé/poêlé;193;21.6;1;11.4;0
Lieu noir, cuit;99.7;23.1;0;0.81;0
Limande-sole, panée, frite;206;16.7;11.9;10.2;0
Limande-sole, cuite à la vapeur;97.7;17.4;1.9;2.27;0
Lotte ou baudroie, crue;67;15.1;0;0.74;0
Maquereau, rôti/cuit au four;228;21.5;0;15.8;0
Maquereau, frit;186;23.6;0;10.2;0
Merlan, frit;127;23.1;0.55;3.61;0
Merlan, cuit à la vapeur;98.3;23;0;0.7;0
Cabillaud, rôti/cuit au four;94.6;22.3;0;0.6;0
Morue, salée, bouillie/cuite à l'eau;113;26;0;1.01;0
Cabillaud, cuit à la vapeur;106;24.5;0;0.95;0
Mulet, rôti/cuit au four;143;24.8;0;4.86;0
Pilchard, sauce tomate, appertisé, égoutté;157;13;1.5;11;0
Nuggets ou croquette panée de poisson, préemballé;255;13.2;18.4;13.7;2.5
Poisson pané, surgelé, cru;163;11;15.6;6.14;0.9
Poisson pané, frit;194;11.9;13.5;10;0.8
Raie, rôtie/cuite au four;96.3;23;0;0.5;0
Roussette ou petite roussette ou saumonette, cuite;104;25.4;0;0.29;0
Sardine, à l'huile, appertisée, égouttée;217;23.3;0.31;13.7;0
Sardine, sauce tomate, appertisée, égouttée;194;20.2;1.83;11.6;1
Saumon, élevage, cru;193;20.5;0;12.4;0
Saumon fumé;184;22.2;0.13;10.5;0.26
Saumon, cuit à la vapeur;199;23;0.9;11.5;0
Thon, au naturel, appertisé, égoutté;143;26.8;0;3.94;0
Sardine, à l'huile d'olive, appertisée, égouttée;224;23.3;0.11;14.5;0
Thon, rôti/cuit au four;136;29.9;0;1.83;0
Turbot, sauvage, cru;91.5;17.2;0;2.54;0
Cabillaud, cru;77.4;18.1;0;0.57;0
Merlu, cru;82.6;17.6;0;1.35;0
Surimi, bâtonnets, tranche ou râpé saveur crabe;117;7.54;11.8;4.33;0.73
Lieu noir, surgelé, cru;82.4;19.8;0;0.37;0
Merlu, filet, surgelé, cru;88.8;15.1;1.7;2.4;0
Maquereau, cru;198;18.1;0.93;13.5;0
Raie, crue;91.9;21.4;0.5;0.47;0
Thon, cru;155;24;2.72;5.38;0
Carrelet ou plie ou plie commune, cru;88.6;20;0;0.94;0
Oeufs de cabillaud, fumés, semi-conserve;154;29;0.1;4.2;0
Limande, crue;80.8;18.3;0;0.85;0
Sole, crue;77.3;18;0;0.6;0
Sole, cuite à la vapeur;94.6;20.3;0;1.48;0
Sole, rôtie/cuite au four;78.2;15.7;0;1.69;0
Sole, bouillie/cuite à l'eau;69;15;0;1;0
Sole, frite;72.2;15.8;0;1;0
Rascasse ou rascasse de profondeur, crue;87.6;18.9;0;1.33;0
Thon albacore, cru;112;25;1;0.94;0
Sardine, crue;160;19.5;0;9.17;0
Thon listao ou bonite à ventre rayé, cru;97.1;22;0;1.01;0
Thon rouge, cru;157;23.3;0.59;6.81;0
Bar commun ou loup, cru;86.1;19.1;0.9;0.7;0
Raie, cuite au court-bouillon;97.8;23.2;0;0.57;0
Roussette ou petite roussette ou saumonette, crue;97.8;23.3;0;0.5;0
Loup de l'Atlantique, cru;89.9;16.6;0;2.61;0
Thon germon ou thon blanc, cru;121;27.2;0;1.37;0
Thon germon ou thon blanc, cuit à la vapeur sous pression;165;30;0;5.06;0
Anchois, cru;129;18.6;0;6.07;0
Dorade royale ou daurade ou vraie daurade, sauvage, crue;95.6;18.1;0.6;2.31;0
Lotte ou baudroie, grillée/poêlée;98.2;23;0;0.68;0
Espadon, cru;134;18.9;1;5.97;0
Éperlan, cru;85.4;17.5;0;1.7;0
Cardine franche, crue;93.4;19.9;0;1.53;0
Rouget-barbet de roche, cru;158;18.4;0;9.37;0
Maquereau, filet sauce tomate, appertisé, égoutté;240;17.7;5.5;16.3;0.1
Maquereau, fumé;289;19.8;0.92;22.9;0
Dorade royale ou daurade ou vraie daurade, élevage, crue;129;20.9;0;5.1;0
Haddock (fumé) ou églefin fumé;97;22.6;0;0.73;0
Mulet, cru;118;20.1;1.35;3.62;0
Truite de mer, crue;114;19.6;0.81;3.63;0
Espadon, rôti/cuit au four;266;28.7;0;16.9;0
Turbot, rôti/cuit au four;121;21.3;0.83;3.64;0
Merlan, cru;79.2;18.8;0;0.47;0
Maquereau, filet sauce moutarde, appertisé, égoutté;218;20.8;1.5;14.2;0.67
Maquereau, filet au vin blanc, appertisé, égoutté;202;17.8;1;14.1;0
Morue, salée, sèche;210;47.6;1.1;1.67;0
Dorade grise ou daurade grise, ou griset, crue;129;20.5;0;5.27;0
Bogue, crue;92.1;17.9;0.53;2.03;0
Bonite ou bonite à dos rayé, crue;161;22.3;0;8.01;0
Maquereau espagnol ou maquereau blanc ou billard, cru;135;22.1;0;5.15;0
Denté ou denté commun, cru;102;17;0.65;3.5;0
Saint-Pierre, cru;86.7;19.9;0;0.8;0
Grondin, cru;108;19;3.4;2;0
Corb, cru;87.2;20;0;0.8;0
Capelan, cru;90;18.7;0;1.71;0
Dorade rose ou daurade rose ou pageot rose, crue;102;21;0;2;0
Rouget-barbet de roche, vapeur;143;24.1;0;5.2;0
Saupe, crue;96.5;18;0.5;2.5;0
Chinchard, cru;116;19;0;4.42;0
Saumon, appertisé, égoutté;144;21;4.9;4.5;0
Merlu, cuit à l'étouffée;112;21.2;0;3;0
Églefin, cru;76.2;17.3;1.02;0.35;0
Maquereau, filet (grillé ou non), au naturel, appertisé, égoutté;221;18.8;0.02;16.2;0
Merlan, pané;190;12.6;13;9.57;0.9
Cabillaud ou morue du Pacifique, cru;64.8;15.3;0;0.41;0
Églefin, grillé/poêlé;84.9;20;0;0.55;0
Congre ou congre commun, cru;127;18.3;3.15;4.6;0
Grenadier (de roche), cru;68.9;15.4;0;0.81;0
Lieu jaune ou colin, cru;75.5;17.7;0;0.51;0
Julienne ou lingue, crue;80.8;19.2;0;0.44;0
Tacaud, cru;81.3;19.7;0;0.33;0
Lieu noir, cru;82.5;18.8;0;0.8;0
Limande-sole, crue;80.6;17;0;1.4;0
Sardine,  grillée/poêlée;194;25.1;0;10.4;0
Poisson cuit (aliment moyen);142;22.5;0.32;5.62;0
Foie de morue, cru;623;5;1;66.6;0
Foie de morue, appertisé, égoutté;433;7.25;1;44.4;0
Vivaneau, cru;94.1;20.5;0;1.34;0
Vivaneau, cuit;121;26.3;0;1.72;0
Rascasse ou rascasse de profondeur, cuite à la vapeur;126;24.6;0;3.1;0
Oeufs de truite, semi-conserve;209;26.3;4;9.5;1
Lieu ou colin d'Alaska, fumé;81.3;18.3;0;0.9;0
Sabre, cru;125;18;0;5.9;0
Flétan du Groënland ou flétan noir ou flétan commun, cru;168;13.5;0;12.7;0
Carangue, cru;104;19.9;0;2.7;0
Coulirou, cru;70.9;17.5;0;0.1;0
Saumon, sauvage, cru;166;21;0;9.17;0
Requin, cru;115;20.8;1.34;2.91;0
Orphie commune, crue;145;20;3.06;5.91;0
Lompe, crue;168;10;0;14.2;0
Brème, cru;108;16.9;1.03;4;0
Omble chevalier, cru;103;19.8;0;2.7;0
Loup tacheté, cru;108;16.3;0;4.8;0
Sprat, cru;189;19.8;0.57;11.9;0
Turbot, cru;85.5;17.9;0;1.55;0
Corégone lavaret ou lavaret, cru;115;20.5;0;3.72;0
Anchois, filets, salés, à l'huile, semi-conserve, égouttés;199;24.9;0;11;0
Mérou, cru;85.2;18.6;0.72;0.86;0
Thon germon ou thon blanc, à l'huile d'olive, appertisé, égoutté;192;31.3;1.01;6.95;0
Thon à l'huile de tournesol, entier, appertisé, égoutté;206;23.3;0.76;12.2;0
Thon albacore, au naturel, appertisé, égoutté;127;24.8;3.67;1.46;0
Maquereau, mariné;185;16.3;0;13.3;0
Lieu jaune ou colin, cuit;97.8;24.4;0;0;0
Lingue bleue, crue;79.6;18.9;0;0.44;0
Sole tropicale ou sole-langue, crue;70.3;15.7;0.53;0.58;0
Turbot, élevage, cru;109;18.3;0;3.94;0
Bar commun ou loup (Méditerranée), sauvage, cru;97.9;20.1;0;1.94;0
Bar commun ou loup (Méditerranée), élevage, cru;124;21.4;0;4.25;0
Baudroie rousse ou Lotte, crue;70.2;16.7;0;0.37;0
Sébaste du nord ou grand sébaste, ou dorade sébaste, ou daurade sébaste, crue;89.5;18.8;0;1.6;0
Saumon, élevage, cuit au micro-onde;200;24.2;0;11.4;0
Hoki, tout lieu de pêche, cru;92.3;17.8;0;2.36;0
Hoki de Nouvelle-Zélande, cru;75.5;15.6;0;1.46;0
Saumon, élevage, bouilli/cuit à l'eau;193;25;0;10.3;0
Grondin perlon, cru;97.4;20.3;0;1.79;0
Dorade grise ou daurade grise ou griset, rôtie/cuite au four;127;22.9;1.43;3.3;0
Saumon argenté du Pacifique (coho), cru;147;21.4;0;6.8;0
Saumon, grillé/poêlé;223;25.5;0;13.5;0
Saumon, élevage, rôti/cuit au four;214;22.1;0.98;13.5;0
Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés;202;23.2;1.16;11.6;0
Hareng fumé, à l'huile;168;15.1;2;11;0
Merlu blanc du Cap, surgelé, cru;78;16.1;0;1.52;0
Julienne ou lingue, cuite;98;24.5;0;0;0
Chinchard maigre, cru;96.7;18.7;0;2.42;0
Chinchard gras, cru;147;19.6;0;7.66;0
Hareng maigre, cru;111;18.3;0;4.22;0
Hareng gras, cru;175;18.7;0.77;10.8;0
Surimi, fourré au fromage frais;148;6.6;9.24;9.3;0
Joëls (petits poissons entiers) pour friture, crus;88.9;17.5;0;2.1;0
Empereur, filet, sans peau, cru;73.5;15;0;1.5;0
Thon à la tomate, miettes, appertisées, égouttées;140;13;4.33;7.67;0.67
Thon, à la catalane ou à l'escabèche (sauce tomate), appertisé;149;12;6;8.6;0
Rouget-barbet, filet avec peau, surgelé, cru (Thaïlande,Vietnam, Sénégal…);96.7;16.3;0;3.5;0
Thon à l'huile de tournesol, miettes, appertisées, égouttées;227;23.4;0;14.8;0
Flétan du Groënland ou flétan noir ou flétan commun, cuit à la vapeur;179;17.3;1.28;11.6;0
Sole, grillée/poêlée;94.4;23.6;0;0;0
Poisson blanc, cuit (aliment moyen);114;22;0.32;2.74;0
Ficelle picarde, préemballée;151;8.6;11.9;7.5;0.6
Salade de carottes râpées, avec sauce, préemballée;74.2;0.84;5.67;4.77;2.61
Salade de betterave, avec sauce, préemballée;59.4;1.44;5.11;3;2.7
Salade de chou et carotte ou coleslaw, avec sauce, préemballée;105;0.94;5.78;8.1;3
Salade de concombre à la crème/fromage blanc, préemballée;77.9;1.06;0.58;7.5;1.5
Salade de lentilles et saucisse fumée, préemballée;177;7;8.9;11.8;3.6
Salade grecque, avec sauce, préemballée;81.5;2;1.4;7.1;2
Salade de riz au thon et légumes, avec sauce, préemballée;145;5.08;16.8;5.98;1.77
Gnocchi à la pomme de terre, à cuire;176;4.66;35;1.42;2.2
Gnocchi à la semoule, à cuire;200;6.2;37;2.6;1.9
Croissant au jambon fromage, préemballé;258;8.92;22;14.5;2
Tarte épinard chèvre, préemballée;233;6.69;21.3;13.1;1.48
Tielle sétoise, préemballée;285;8.5;29.4;14.4;1.8
Taboulé ou salade de semoule au poulet, préemballé;176;5.9;20.1;7.45;2.47
Pizza au thon, préemballée;235;10.2;23.7;10.6;2.15
Pizza kebab, préemballée;211;9.4;26.6;7.01;1.85
Pizza au poulet, préemballée;211;9.88;28.2;6.09;2.07
Pizza type raclette ou tartiflette, préemballée;246;9.66;27.3;10.4;1.9
Pizza au speck ou jambon cru, préemballée;234;10.9;27.4;8.53;2.17
Oeufs de saumon du Pacifique, semi-conserve;240;30.8;5.16;10.5;1
Salade de pâtes au surimi, avec sauce, préemballée;208;4.19;14.1;14.5;1.7
Salade Alaska au surimi, ananas, carottes, avec sauce, préemballée;170;3.81;7.12;13.4;2.3
Salade de pâtes au poulet, fromage et crudités, avec sauce, préemballée;175;8.19;12.4;9.5;2.2
Salade de pâtes aux poulet, oeuf, fromage et crudités, avec sauce, préemballée;167;8.19;12.4;8.7;2.2
Salade de pâtes au jambon cru, fromage et crudités, avec sauce, préemballée;191;7.31;15.1;10.6;2.2
Salade de chou rouge, avec sauce, préemballée;103;1.23;4.73;8.25;2.25
Salade de pâtes au poulet et crudités, avec sauce, préemballée;131;5.91;13.5;5.52;1.9
Anchois, filets, marinés à l'orientale (huile, piments…), semi-conserve, égouttés;165;19.6;0.48;9.19;1.09
Anchois, filets, salés, à l'huile de tournesol, semi-conserve, égouttés;211;24.5;0.54;12.3;0
Anchois, filets, salés, à l'huile d'olive, semi-conserve, égouttés;197;25;1.36;9.9;1.1
Saumon, sauvage, fumé;121;23.6;0.05;2.91;0
Saumon, élevage, fumé;188;22.1;0.14;11;0
Sardine, à l'huile de tournesol, appertisée, égouttée;219;23.5;0.27;13.8;0
Sardine, à l'huile d'arachide, appertisée, égouttée;223;21.2;1.07;14.9;0
Anchois, filets, marinés, semi-conserve, égouttés (aliment moyen);186;20.3;0.48;11.3;0.73
Truite saumonée, sautée/poêlée;146;22;0;6.4;0
Anguille, cuite (aliment moyen);213;22.1;0;13.8;0
Anguille, rôtie/cuite au four;229;23.6;0;15;0
Anguille, bouillie/cuite à l'eau;197;20.5;0;12.7;0
Brochet, rôti/cuit au four;100;23.1;0;0.88;0
Carpe,  élevage, crue;114;17.7;0;4.76;0
Carpe, rôtie/cuite au four;151;21.6;0;7.17;0
Perche ou perche européenne, rôtie/cuite au four;119;22.1;0;3.42;0
Truite, rôtie/cuite au four;183;26.6;0;8.47;0
Truite ou truite fario, cuite à la vapeur;99.4;19;0;2.6;0
Truite ou truite fario, élevage, crue;133;19.3;0;6.22;0
Truite arc en ciel, élevage, crue;132;19;0;6.24;0
Perche ou perche européenne, crue;84.6;17.9;0.6;1.19;0
Brochet, cru;87.7;18.8;1;0.94;0
Esturgeon d’Europe occidentale, cru;127;17.7;0.87;5.84;0
Truite arc en ciel, élevage, rôtie/cuite au four;143;21.5;0;6.33;0
Truite arc en ciel, élevage, cuite à la vapeur;117;20;0;4.14;0
Anguille, crue;240;16.1;2.06;18.6;0
Pangas, poisson-chat, machoiron, cru;65.2;13.5;0;1.27;0
Pangas, poisson-chat, machoiron, cuit;79;17.5;0;1;0
Tilapia, cru;91.6;18.1;0;2.13;0
Truite saumonée, crue;143;19.2;0;7.4;0
Lotte de rivière, crue;77;17.8;0;0.66;0
Sandre, cru;87.2;18.3;1.06;1.08;0
Perche du Nil, crue;82.4;19.1;0;0.68;0
Truite, élevage, fumée;171;22.3;3.17;7.69;0.28
Bar commun ou loup, rôti/cuit au four;151;22.2;1.02;6.51;0
Dorade royale ou daurade ou vraie daurade, rôtie/cuite au four;148;23.6;0;5.9;0
Porc, épaule crue;178;18.9;0.38;11.2;0
Porc, poitrine crue;253;17;0;20.5;0
Porc, palette crue;208;24.8;0;12.1;0
Porc, épaule cuite;253;30;0;14.8;0
Porc, côte crue;164;19.8;0.38;9.3;0
Porc, côte grillée/poêlée;211;29.6;0;10.3;0
Porc, rouelle de jambon crue;149;20.2;0;7.56;0
Porc, rouelle de jambon cuite;266;36.9;0;13.1;0
Porc, carré cru;146;22.7;0.4;5.94;0
Porc, carré cuit;206;34.1;0.6;7.45;0
Porc, filet maigre, en rôti, cuit;198;28.3;0;9.39;0
Porc, filet mignon cuit;168;26.1;0;7.1;0
Porc, filet mignon cru;123;21.2;0.4;4.09;0
Porc, viande, cuite (aliment moyen);207;29.4;0.22;9.89;0
Porc, rôti cru;153;22.3;0.5;6.86;0
Porc, rôti cuit;163;30.5;0.65;4.31;0
Porc, échine crue;238;17.1;0.1;18.8;0
Porc, travers cru;237;18;0.6;18;0
Porc, travers braisé;332;23.1;0;26.6;0
Porc, échine rôtie/cuite au four;295;26.2;0;21.2;0
Porc, escalope de jambon crue;129;21.5;0;4.76;0
Porc, escalope de jambon cuite;200;36;0;6.2;0
Porc, bardière découennée crue;744;4.51;0.1;80.6;0
Porc, gorge découennée crue;475;11.6;0.14;47.5;0
Porc, hachage sans jarret, sans bateau, découenné, dégraissé, désossé, cru;187;18.9;0.23;12.3;0
Porc, jambon sans jarret, sans bateau, découenné, dégraissé, désossé, cru;141;20.9;0.28;6.3;0
Porc, jambonneau arrière, découenné, dégraisssé, désossé, cru;148;20.2;0.28;7.31;0
Porc, maigre 90/10 cru;212;18.8;0.24;15.1;0
Porc, maigre 80/20 cru;293;17.3;0.26;24.7;0
Porc, palette, découennée, dégraissée, désossée, crue;174;19.9;0.25;10.4;0
Porc, poitrine cutter, sans mouille, crue;323;15.9;0.22;28.7;0
Porc, rôti filet avec chaînette, cru;146;22.3;0.37;6.2;0
Lardon nature, cru;269;16.6;1.01;22.1;0.38
Poitrine de porc en salaison, fumée, crue;303;15.6;0.79;26.1;1
Bresaola;172;32.8;0.49;4.3;0
Lardon nature, cuit;324;23.8;2;24.5;0
Corned-beef, appertisé;191;23.2;0;10.9;0
Poitrine de porc en salaison, nature, crue;288;15.7;0.76;24.7;0.29
Oreille de porc demi-sel;228;22.5;0.6;15.1;0
Pied de porc demi-sel;137;11.6;0.01;10;0
Poitrine de porc demi-sel;270;16.8;1.3;22;0
Jambon de porc à cuire ou jambon à rôtir/cuire au four;163;18.8;1.75;9;0
Lardon fumé, cru;272;16.7;0.35;22.6;0.34
Lardon, cru, à teneur réduite en sel;246;17.9;0.78;19;0.13
Lardon fumé, cuit;277;14.7;4.8;22.1;0
Filet de bacon;118;23.1;0.7;2.6;0
Jambon cru;239;25.9;4.27;13.2;0
Jambon cru fumé;246;24.2;0.98;16.1;0
Jambon cuit, fumé;135;20;0.79;5.8;0.1
Jambon cru fumé, allégé en matière grasse;142;27.7;0.1;3.4;0
Jambon de Bayonne;243;28;4.51;12.6;0
Jambon sec;230;28.7;0.48;12.6;0
Jambon sec de Parme;248;27.2;0.3;15.4;0
Jambon sec Serrano;235;30.4;0.76;12.3;0
Coppa;284;25;1;20;0
Pancetta ou poitrine roulée sèche;349;20.2;2.49;28.8;0
Viande des Grisons;207;38.9;0.56;5.47;0
Jambon cuit, supérieur;113;21;0.76;2.83;0
Jambon cuit, supérieur, avec couenne;118;20.4;0.91;3.59;0.25
Jambon cuit, supérieur, découenné;117;20.5;0.77;3.52;0.05
Jambon à l'os braisé;198;21.6;0.3;12.3;0
Jambon cuit, supérieur, découenné dégraissé;115;20.3;0.14;3.66;0.32
Jambon cuit, supérieur, dégraissé découenne, à teneur réduite en sel;121;20.8;0.74;3.83;0
Jambon cuit, choix;125;19.5;1.7;4.5;0.08
Épaule de porc, cuite, choix, découennée dégraissée;124;18;2.8;4.5;0
Jambon cuit, choix, avec couenne;137;19.4;0.55;6.3;0
Jambon cuit, choix, découenné dégraissé;115;19.6;1.88;3.24;0.15
Rond de jambon cuit;182;20.3;1.4;10.6;0
Dés, allumettes, râpé ou haché de jambon;120;17.9;2.08;4.46;0.36
Épaule de porc, cuite, standard, découennée dégraissée;123;13.7;2.89;5.98;1.3
Jambon cuit, de Paris, découenné dégraissé;115;20;1.08;3.42;0
Haché de volaille;137;17.7;3.5;5.68;0.63
Dés, allumettes, râpé ou haché de jambon de volaille;132;18;1.58;5.88;0.5
Jambonneau, cuit;157;20;5.43;6;0.4
Jambon de poulet ou blanc de poulet en tranche;105;20.7;1.39;1.79;0.53
Jambon de dinde ou blanc de dinde en tranche;99.3;20.9;0.02;1.67;0.39
Jambon de volaille ou blanc de volaille, à teneur réduite en sel, en tranche;108;21.3;1.6;1.65;0.71
Rôti de volaille en salaison, cuit;109;22;1.28;1.73;0.44
Boisson au soja et jus de fruits concentrés, préemballée;56.2;2.3;9.5;1;0
Chipolata cuite;283;18.8;0.8;22.4;0
Saucisse de Toulouse cuite;279;18.8;1.28;22.1;0
Chair à saucisse crue;323;14.7;0.6;29.1;0
Chair à saucisse, pur porc, crue;258;16.9;0;21.2;0
Farce porc et boeuf crue;309;11.8;4.4;26.5;2.6
Saucisse fumée à cuire;336;15.6;0;30.4;0
Saucisse de Morteau;398;16;1.17;36.6;0
Saucisse de Montbéliard, à cuire;322;17.3;1.72;27.3;0
